model,include_survival_months,threshold,accuracy,balanced_accuracy,precision,recall,f1,f2,roc_auc,pr_auc,true_negatives,false_positives,false_negatives,true_positives
logistic_regression,False,0.5,0.6919254658385093,0.6615823856185776,0.2743682310469314,0.6178861788617886,0.38,0.494148244473342,0.7277972486469733,0.3686451064037777,481,201,47,76
random_forest,False,0.5,0.7813664596273292,0.5977517106549365,0.3037037037037037,0.3333333333333333,0.3178294573643411,0.3269537480063796,0.6931907588870609,0.28257337035832397,588,94,82,41
extra_trees,False,0.5,0.7863354037267081,0.5773609422311232,0.2905982905982906,0.2764227642276423,0.2833333333333333,0.2791461412151067,0.67729418496531,0.2771681055044448,599,83,89,34
mlp,False,0.5,0.808695652173913,0.5572383949645948,0.3037974683544304,0.1951219512195122,0.2376237623762376,0.21015761821366025,0.6274586939417781,0.26570455454427105,627,55,99,24
hist_gradient_boosting,False,0.5,0.8360248447204969,0.5533760102996924,0.4,0.14634146341463414,0.21428571428571427,0.16759776536312848,0.7050640154495388,0.3124011536411674,655,27,105,18
svm_calibrated,False,0.5,0.853416149068323,0.5403166201749994,0.6470588235294118,0.08943089430894309,0.15714285714285714,0.10805500982318271,0.7272131225711085,0.3663929798674691,676,6,112,11
