model,include_survival_months,scenario,threshold,accuracy,balanced_accuracy,precision,recall,f1,f2,roc_auc,pr_auc,brier_score,clinical_utility,true_negatives,false_positives,false_negatives,true_positives
logistic_regression,False,max_f2,0.34,0.5316770186335403,0.6636327873542665,0.22629310344827586,0.8536585365853658,0.3577512776831346,0.549163179916318,0.7202274515413776,0.3610779880862882,0.20462091131358592,22.0,323.0,359.0,18.0,105.0
logistic_regression,False,max_recall,0.16,0.21739130434782608,0.5381231671554252,0.16334661354581673,1.0,0.2808219178082192,0.4939759036144578,0.7202274515413776,0.3610779880862882,0.20462091131358592,-15.0,52.0,630.0,0.0,123.0
logistic_regression,False,max_clinical_utility,0.29,0.45962732919254656,0.6377703073218415,0.20676691729323307,0.8943089430894309,0.33587786259541985,0.537109375,0.7202274515413776,0.3610779880862882,0.20462091131358592,24.0,260.0,422.0,13.0,110.0
logistic_regression,False,recall_with_precision_floor_0_30,0.58,0.746583850931677,0.6438619078272894,0.30049261083743845,0.4959349593495935,0.37423312883435583,0.43884892086330934,0.7202274515413776,0.3610779880862882,0.20462091131358592,-333.0,540.0,142.0,62.0,61.0
logistic_regression,False,precision_with_recall_floor_0_80,0.37,0.5664596273291925,0.6708330353098253,0.23598130841121495,0.8211382113821138,0.3666061705989111,0.5489130434782609,0.7202274515413776,0.3610779880862882,0.20462091131358592,2.0,355.0,327.0,22.0,101.0
