model,include_survival_months,scenario,threshold,accuracy,balanced_accuracy,precision,recall,f1,f2,roc_auc,pr_auc,brier_score,clinical_utility,true_negatives,false_positives,false_negatives,true_positives
extra_trees,False,max_f2,0.1,0.4658385093167702,0.6147807739074458,0.19960861056751467,0.8292682926829268,0.3217665615141956,0.5084745762711864,0.6619042510073195,0.24978442488093439,0.1522431684187674,-67.0,273.0,409.0,21.0,102.0
extra_trees,False,max_recall,0.05,0.3267080745341615,0.5693202679827385,0.17519379844961241,0.9186991869918699,0.2942708333333333,0.4969217238346526,0.6619042510073195,0.24978442488093439,0.1522431684187674,-47.0,150.0,532.0,10.0,113.0
extra_trees,False,max_clinical_utility,0.05,0.3267080745341615,0.5693202679827385,0.17519379844961241,0.9186991869918699,0.2942708333333333,0.4969217238346526,0.6619042510073195,0.24978442488093439,0.1522431684187674,-47.0,150.0,532.0,10.0,113.0
extra_trees,False,recall_with_precision_floor_0_30,0.59,0.8099378881987578,0.5546396299740123,0.3026315789473684,0.18699186991869918,0.23115577889447236,0.20246478873239437,0.6619042510073195,0.24978442488093439,0.1522431684187674,-738.0,629.0,53.0,100.0,23.0
extra_trees,False,precision_with_recall_floor_0_80,0.11,0.4782608695652174,0.6121164437450827,0.2,0.8048780487804879,0.32038834951456313,0.5015197568389058,0.6619042510073195,0.24978442488093439,0.1522431684187674,-93.0,286.0,396.0,24.0,99.0
