model,include_survival_months,scenario,threshold,accuracy,balanced_accuracy,precision,recall,f1,f2,roc_auc,pr_auc,brier_score,clinical_utility,true_negatives,false_positives,false_negatives,true_positives
mlp,False,max_f2,0.05,0.6260869565217392,0.6027346637102735,0.22012578616352202,0.5691056910569106,0.31746031746031744,0.43209876543209874,0.6231313926042485,0.25283274827508095,0.1572866281223874,-322.0,434.0,248.0,53.0,70.0
mlp,False,max_recall,0.05,0.6260869565217392,0.6027346637102735,0.22012578616352202,0.5691056910569106,0.31746031746031744,0.43209876543209874,0.6231313926042485,0.25283274827508095,0.1572866281223874,-322.0,434.0,248.0,53.0,70.0
mlp,False,max_clinical_utility,0.05,0.6260869565217392,0.6027346637102735,0.22012578616352202,0.5691056910569106,0.31746031746031744,0.43209876543209874,0.6231313926042485,0.25283274827508095,0.1572866281223874,-322.0,434.0,248.0,53.0,70.0
mlp,False,recall_with_precision_floor_0_30,0.41,0.7975155279503106,0.5706315714183534,0.3,0.24390243902439024,0.26905829596412556,0.2533783783783784,0.6231313926042485,0.25283274827508095,0.1572866281223874,-664.0,612.0,70.0,93.0,30.0
