model,threshold,accuracy,balanced_accuracy,precision,recall,f1,f2,roc_auc,pr_auc,brier_score,clinical_utility,true_negatives,false_positives,false_negatives,true_positives,threshold_selected_on,selected_threshold
logistic_regression,0.5,0.6807453416149069,0.6516522423288749,0.2640845070422535,0.6097560975609756,0.36855036855036855,0.4832474226804124,0.7154471544715447,0.35246510726624997,0.20550244385053074,-218.0,473,209,48,75,,
svm_calibrated,0.5,0.8521739130434782,0.5329196767040985,0.6428571428571429,0.07317073170731707,0.13138686131386862,0.08893280632411067,0.7124311565696302,0.3439199643505575,0.11788931102295148,-872.0,677,5,114,9,,
weighted_soft_voting,0.22,0.5664596273291925,0.6475097155663638,0.22705314009661837,0.7642276422764228,0.3500931098696462,0.5187637969094923,0.7139927997520444,0.319623677878879,0.14136732234443838,-82.0,362,320,29,94,validation,0.22
