model,include_survival_months,scenario,threshold,accuracy,balanced_accuracy,precision,recall,f1,f2,roc_auc,pr_auc,brier_score,clinical_utility,true_negatives,false_positives,false_negatives,true_positives
gradient_boosting,True,max_f2,0.18,0.8745341614906832,0.7993407720000953,0.5743243243243243,0.6910569105691057,0.6273062730627307,0.6640625,0.8659013422978804,0.7007848788227786,0.07601880968846013,58.0,619.0,63.0,38.0,85.0
gradient_boosting,True,max_recall,0.05,0.5565217391304348,0.7049507665164628,0.24565217391304348,0.9186991869918699,0.3876500857632933,0.5934873949579832,0.8659013422978804,0.7007848788227786,0.07601880968846013,138.0,335.0,347.0,10.0,113.0
gradient_boosting,True,max_clinical_utility,0.06,0.6211180124223602,0.7330782252104047,0.2736318407960199,0.8943089430894309,0.41904761904761906,0.6152125279642058,0.8659013422978804,0.7007848788227786,0.07601880968846013,154.0,390.0,292.0,13.0,110.0
gradient_boosting,True,recall_with_precision_floor_0_30,0.08,0.698136645962733,0.7485456452804997,0.3136645962732919,0.8211382113821138,0.45393258426966293,0.6203931203931204,0.8659013422978804,0.7007848788227786,0.07601880968846013,108.0,461.0,221.0,22.0,101.0
gradient_boosting,True,precision_with_recall_floor_0_80,0.09,0.7354037267080745,0.767207877357366,0.3448275862068966,0.8130081300813008,0.48426150121065376,0.639386189258312,0.8659013422978804,0.7007848788227786,0.07601880968846013,126.0,492.0,190.0,23.0,100.0
