model,include_survival_months,scenario,threshold,accuracy,balanced_accuracy,precision,recall,f1,f2,roc_auc,pr_auc,brier_score,clinical_utility,true_negatives,false_positives,false_negatives,true_positives
hist_gradient_boosting,False,max_f2,0.05,0.5043478260869565,0.6175166297117517,0.20512820512820512,0.7804878048780488,0.3248730964467005,0.5,0.6973034832987627,0.29228695775566366,0.12763432963576066,-108.0,310.0,372.0,27.0,96.0
hist_gradient_boosting,False,max_recall,0.05,0.5043478260869565,0.6175166297117517,0.20512820512820512,0.7804878048780488,0.3248730964467005,0.5,0.6973034832987627,0.29228695775566366,0.12763432963576066,-108.0,310.0,372.0,27.0,96.0
hist_gradient_boosting,False,max_clinical_utility,0.05,0.5043478260869565,0.6175166297117517,0.20512820512820512,0.7804878048780488,0.3248730964467005,0.5,0.6973034832987627,0.29228695775566366,0.12763432963576066,-108.0,310.0,372.0,27.0,96.0
hist_gradient_boosting,False,recall_with_precision_floor_0_30,0.17,0.7540372670807454,0.6415969291657726,0.30569948186528495,0.4796747967479675,0.37341772151898733,0.4306569343065693,0.6973034832987627,0.29228695775566366,0.12763432963576066,-351.0,548.0,134.0,64.0,59.0
