scenario,threshold,accuracy,balanced_accuracy,precision,recall,f1,f2,roc_auc,pr_auc,brier_score,clinical_utility,true_negatives,false_positives,false_negatives,true_positives
max_f2,0.28,0.591304347826087,0.6621724721646043,0.23857868020304568,0.7642276422764228,0.36363636363636365,0.5304740406320542,0.7062918723028873,0.3127377331493729,0.15504178659610962,-62.0,382.0,300.0,29.0,94.0
max_recall,0.06,0.17267080745341615,0.5117302052785924,0.155893536121673,1.0,0.26973684210526316,0.48009367681498827,0.7062918723028873,0.3127377331493729,0.15504178659610962,-51.0,16.0,666.0,0.0,123.0
max_clinical_utility,0.19,0.4409937888198758,0.6234413370526668,0.2,0.8861788617886179,0.3263473053892216,0.5255544840887174,0.7062918723028873,0.3127377331493729,0.15504178659610962,-3.0,246.0,436.0,14.0,109.0
recall_with_precision_floor_0_30,0.47,0.7677018633540372,0.61634241708986,0.30246913580246915,0.3983739837398374,0.34385964912280703,0.3746177370030581,0.7062918723028873,0.3127377331493729,0.15504178659610962,-460.0,569.0,113.0,74.0,49.0
precision_with_recall_floor_0_80,0.24,0.5254658385093167,0.6399756812817395,0.21663019693654267,0.8048780487804879,0.3413793103448276,0.5216016859852476,0.7062918723028873,0.3127377331493729,0.15504178659610962,-55.0,324.0,358.0,24.0,99.0
