model,include_survival_months,scenario,threshold,accuracy,balanced_accuracy,precision,recall,f1,f2,roc_auc,pr_auc,brier_score,clinical_utility,true_negatives,false_positives,false_negatives,true_positives
mlp,True,max_f2,0.05,0.7776397515527951,0.7321603128054741,0.37272727272727274,0.6666666666666666,0.478134110787172,0.5758426966292135,0.7833726724364016,0.5614382708447699,0.1159129441097775,-56.0,544.0,138.0,41.0,82.0
mlp,True,max_recall,0.05,0.7776397515527951,0.7321603128054741,0.37272727272727274,0.6666666666666666,0.478134110787172,0.5758426966292135,0.7833726724364016,0.5614382708447699,0.1159129441097775,-56.0,544.0,138.0,41.0,82.0
mlp,True,max_clinical_utility,0.05,0.7776397515527951,0.7321603128054741,0.37272727272727274,0.6666666666666666,0.478134110787172,0.5758426966292135,0.7833726724364016,0.5614382708447699,0.1159129441097775,-56.0,544.0,138.0,41.0,82.0
mlp,True,recall_with_precision_floor_0_30,0.05,0.7776397515527951,0.7321603128054741,0.37272727272727274,0.6666666666666666,0.478134110787172,0.5758426966292135,0.7833726724364016,0.5614382708447699,0.1159129441097775,-56.0,544.0,138.0,41.0,82.0
