model,include_survival_months,scenario,threshold,accuracy,balanced_accuracy,precision,recall,f1,f2,roc_auc,pr_auc,brier_score,clinical_utility,true_negatives,false_positives,false_negatives,true_positives
logistic_regression,True,max_f2,0.43,0.7614906832298136,0.7759399661445294,0.36981132075471695,0.7967479674796748,0.5051546391752577,0.6472919418758256,0.8490570536203896,0.6231112777004599,0.14502330816878103,123.0,515.0,167.0,25.0,98.0
logistic_regression,True,max_recall,0.08,0.3416149068322981,0.608105047326133,0.18740399385560677,0.991869918699187,0.3152454780361757,0.5336832895888014,0.8490570536203896,0.6231112777004599,0.14502330816878103,73.0,153.0,529.0,1.0,122.0
logistic_regression,True,max_clinical_utility,0.38,0.7180124223602484,0.7636077533795866,0.33116883116883117,0.8292682926829268,0.4733178654292343,0.6375,0.8490570536203896,0.6231112777004599,0.14502330816878103,136.0,476.0,206.0,21.0,102.0
logistic_regression,True,recall_with_precision_floor_0_30,0.33,0.675776397515528,0.7453448728035668,0.30057803468208094,0.8455284552845529,0.44349680170575695,0.6205250596658711,0.8490570536203896,0.6231112777004599,0.14502330816878103,126.0,440.0,242.0,19.0,104.0
logistic_regression,True,precision_with_recall_floor_0_80,0.4,0.7366459627329193,0.767941015187278,0.3460207612456747,0.8130081300813008,0.4854368932038835,0.6402048655569782,0.8490570536203896,0.6231112777004599,0.14502330816878103,127.0,493.0,189.0,23.0,100.0
