model,include_survival_months,scenario,threshold,accuracy,balanced_accuracy,precision,recall,f1,f2,roc_auc,pr_auc,brier_score,clinical_utility,true_negatives,false_positives,false_negatives,true_positives
random_forest,False,max_f2,0.17,0.453416149068323,0.6141132012493146,0.1980952380952381,0.8455284552845529,0.32098765432098764,0.511307767944936,0.674415277877119,0.2757781133893612,0.1584462763444797,-53.0,261.0,421.0,19.0,104.0
random_forest,False,max_recall,0.05,0.22981366459627328,0.5321269341725675,0.1619047619047619,0.967479674796748,0.2773892773892774,0.4849225753871231,0.674415277877119,0.2757781133893612,0.1584462763444797,-53.0,66.0,616.0,4.0,119.0
random_forest,False,max_clinical_utility,0.12,0.3590062111801242,0.5850499487399565,0.18152350081037277,0.9105691056910569,0.3027027027027027,0.5049594229035167,0.674415277877119,0.2757781133893612,0.1584462763444797,-33.0,177.0,505.0,11.0,112.0
random_forest,False,recall_with_precision_floor_0_30,0.5,0.7763975155279503,0.6048148677967718,0.30344827586206896,0.35772357723577236,0.3283582089552239,0.3453689167974882,0.674415277877119,0.2757781133893612,0.1584462763444797,-513.0,581.0,101.0,79.0,44.0
random_forest,False,precision_with_recall_floor_0_80,0.18,0.4683229813664596,0.6162470495672698,0.20039292730844793,0.8292682926829268,0.3227848101265823,0.5094905094905094,0.674415277877119,0.2757781133893612,0.1584462763444797,-65.0,275.0,407.0,21.0,102.0
