model,include_survival_months,threshold,accuracy,balanced_accuracy,precision,recall,f1,f2,roc_auc,pr_auc,true_negatives,false_positives,false_negatives,true_positives
logistic_regression,True,0.5,0.7913043478260869,0.7702119543189567,0.4008810572687225,0.7398373983739838,0.52,0.6328233657858137,0.8506902224447465,0.6305458553631073,546,136,32,91
random_forest,True,0.5,0.8807453416149068,0.7663555301242162,0.6115702479338843,0.6016260162601627,0.6065573770491803,0.6035889070146819,0.8528240707627017,0.6568626447494628,635,47,49,74
hist_gradient_boosting,True,0.5,0.9006211180124224,0.7214433874544024,0.8028169014084507,0.4634146341463415,0.5876288659793815,0.5062166962699822,0.8468278377798439,0.6575765810899132,668,14,66,57
mlp,True,0.5,0.8621118012422361,0.7053799203681186,0.5566037735849056,0.4796747967479675,0.5152838427947598,0.49331103678929766,0.7840164032138855,0.5166128486951074,635,47,64,59
svm_calibrated,True,0.5,0.8956521739130435,0.7051832248527764,0.7910447761194029,0.43089430894308944,0.5578947368421052,0.4740608228980322,0.8500822544882342,0.6344092381308372,668,14,70,53
extra_trees,True,0.5,0.8658385093167702,0.6942517225758769,0.5789473684210527,0.44715447154471544,0.5045871559633027,0.4684838160136286,0.8191950981093392,0.5492750598717834,642,40,68,55
