model,include_survival_months,scenario,threshold,accuracy,balanced_accuracy,precision,recall,f1,f2,roc_auc,pr_auc,brier_score,clinical_utility,true_negatives,false_positives,false_negatives,true_positives
extra_trees,True,max_f2,0.24,0.6382978723404256,0.5815397948866098,0.6158357771260997,0.9767441860465116,0.7553956834532374,0.8742714404662781,0.772381915354615,0.8045447595486137,0.1911067415610188,879.0,30.0,131.0,5.0,210.0
extra_trees,True,max_recall,0.12,0.5877659574468085,0.5186335403726708,0.581081081081081,1.0,0.7350427350427351,0.8739837398373984,0.772381915354615,0.8045447595486137,0.1911067415610188,920.0,6.0,155.0,0.0,215.0
extra_trees,True,max_clinical_utility,0.12,0.5877659574468085,0.5186335403726708,0.581081081081081,1.0,0.7350427350427351,0.8739837398373984,0.772381915354615,0.8045447595486137,0.1911067415610188,920.0,6.0,155.0,0.0,215.0
extra_trees,True,recall_with_precision_floor_0_30,0.12,0.5877659574468085,0.5186335403726708,0.581081081081081,1.0,0.7350427350427351,0.8739837398373984,0.772381915354615,0.8045447595486137,0.1911067415610188,920.0,6.0,155.0,0.0,215.0
extra_trees,True,precision_with_recall_floor_0_80,0.47,0.7154255319148937,0.7012422360248447,0.7288135593220338,0.8,0.7627494456762749,0.7846715328467153,0.772381915354615,0.8045447595486137,0.1911067415610188,452.0,97.0,64.0,43.0,172.0
