model,include_survival_months,scenario,threshold,accuracy,balanced_accuracy,precision,recall,f1,f2,roc_auc,pr_auc,brier_score,clinical_utility,true_negatives,false_positives,false_negatives,true_positives
svm_calibrated,True,max_f2,0.21,0.6196808510638298,0.5566806297847754,0.601123595505618,0.9953488372093023,0.7495621716287215,0.8799342105263158,0.7737685974288603,0.7797486806480338,0.18797205793577554,920.0,19.0,142.0,1.0,214.0
svm_calibrated,True,max_recall,0.18,0.601063829787234,0.5341614906832298,0.589041095890411,1.0,0.7413793103448276,0.8775510204081632,0.7737685974288603,0.7797486806480338,0.18797205793577554,925.0,11.0,150.0,0.0,215.0
svm_calibrated,True,max_clinical_utility,0.18,0.601063829787234,0.5341614906832298,0.589041095890411,1.0,0.7413793103448276,0.8775510204081632,0.7737685974288603,0.7797486806480338,0.18797205793577554,925.0,11.0,150.0,0.0,215.0
svm_calibrated,True,recall_with_precision_floor_0_30,0.18,0.601063829787234,0.5341614906832298,0.589041095890411,1.0,0.7413793103448276,0.8775510204081632,0.7737685974288603,0.7797486806480338,0.18797205793577554,925.0,11.0,150.0,0.0,215.0
svm_calibrated,True,precision_with_recall_floor_0_80,0.51,0.726063829787234,0.7113245702730031,0.7352941176470589,0.813953488372093,0.7726269315673289,0.7969034608378871,0.7737685974288603,0.7797486806480338,0.18797205793577554,492.0,98.0,63.0,40.0,175.0
