model,include_survival_months,threshold,accuracy,balanced_accuracy,precision,recall,f1,f2,roc_auc,pr_auc,brier_score,clinical_utility,true_negatives,false_positives,false_negatives,true_positives
gradient_boosting,True,0.5,0.8085106382978723,0.7966777408637874,0.8042553191489362,0.8790697674418605,0.84,0.863013698630137,0.8537050411671241,0.8674798711150105,0.15147320735001335,691.0,115,46,26,189
hist_gradient_boosting,True,0.5,0.7952127659574468,0.7850498338870432,0.8,0.8558139534883721,0.8269662921348314,0.8440366972477065,0.8509316770186336,0.8647691693473967,0.15953023994072538,626.0,115,46,31,184
ada_boost,True,0.5,0.7632978723404256,0.7548028311425683,0.78125,0.813953488372093,0.7972665148063781,0.8071955719557196,0.819716885743175,0.8446715854411222,0.18517781789833074,506.0,112,49,40,175
svm_calibrated,True,0.5,0.726063829787234,0.7097645529394772,0.731404958677686,0.8232558139534883,0.774617067833698,0.8030852994555354,0.7737685974288603,0.7797486806480338,0.18797205793577554,516.0,96,65,38,177
random_forest,True,0.5,0.7473404255319149,0.7408493427704752,0.7752293577981652,0.786046511627907,0.7806004618937644,0.7838589981447124,0.8132601473349703,0.8291511172947283,0.17550494666019964,428.0,112,49,46,169
mlp,True,0.5,0.7154255319148937,0.7043622706918966,0.7368421052631579,0.7813953488372093,0.7584650112866818,0.7720588235294118,0.770273003033367,0.8094439104524345,0.2643495609204349,404.0,101,60,47,168
extra_trees,True,0.5,0.726063829787234,0.7175646396071067,0.7522522522522522,0.7767441860465116,0.7643020594965675,0.7717190388170055,0.772381915354615,0.8045447595486137,0.1911067415610188,396.0,106,55,48,167
logistic_regression,True,0.5,0.7287234042553191,0.7245702730030333,0.7677725118483413,0.7534883720930232,0.7605633802816901,0.7563025210084033,0.7768886320959122,0.7824914705958491,0.19042394736895563,337.0,112,49,53,162
