model,include_survival_months,scenario,threshold,accuracy,balanced_accuracy,precision,recall,f1,f2,roc_auc,pr_auc,brier_score,clinical_utility,true_negatives,false_positives,false_negatives,true_positives
mlp,False,max_f2,0.05,0.6436170212765957,0.6173913043478261,0.6539923954372624,0.8,0.7196652719665272,0.7658058771148709,0.6424960277336415,0.6751284893304434,0.3531079423502453,425.0,70.0,91.0,43.0,172.0
mlp,False,max_recall,0.05,0.6436170212765957,0.6173913043478261,0.6539923954372624,0.8,0.7196652719665272,0.7658058771148709,0.6424960277336415,0.6751284893304434,0.3531079423502453,425.0,70.0,91.0,43.0,172.0
mlp,False,max_clinical_utility,0.05,0.6436170212765957,0.6173913043478261,0.6539923954372624,0.8,0.7196652719665272,0.7658058771148709,0.6424960277336415,0.6751284893304434,0.3531079423502453,425.0,70.0,91.0,43.0,172.0
mlp,False,recall_with_precision_floor_0_30,0.05,0.6436170212765957,0.6173913043478261,0.6539923954372624,0.8,0.7196652719665272,0.7658058771148709,0.6424960277336415,0.6751284893304434,0.3531079423502453,425.0,70.0,91.0,43.0,172.0
mlp,False,precision_with_recall_floor_0_80,0.05,0.6436170212765957,0.6173913043478261,0.6539923954372624,0.8,0.7196652719665272,0.7658058771148709,0.6424960277336415,0.6751284893304434,0.3531079423502453,425.0,70.0,91.0,43.0,172.0
