model,include_survival_months,scenario,threshold,accuracy,balanced_accuracy,precision,recall,f1,f2,roc_auc,pr_auc,brier_score,clinical_utility,true_negatives,false_positives,false_negatives,true_positives
extra_trees,False,max_f2,0.11,0.5877659574468085,0.5186335403726708,0.581081081081081,1.0,0.7350427350427351,0.8739837398373984,0.7201213346814964,0.7536210688383708,0.21091461426287492,920.0,6.0,155.0,0.0,215.0
extra_trees,False,max_recall,0.11,0.5877659574468085,0.5186335403726708,0.581081081081081,1.0,0.7350427350427351,0.8739837398373984,0.7201213346814964,0.7536210688383708,0.21091461426287492,920.0,6.0,155.0,0.0,215.0
extra_trees,False,max_clinical_utility,0.11,0.5877659574468085,0.5186335403726708,0.581081081081081,1.0,0.7350427350427351,0.8739837398373984,0.7201213346814964,0.7536210688383708,0.21091461426287492,920.0,6.0,155.0,0.0,215.0
extra_trees,False,recall_with_precision_floor_0_30,0.11,0.5877659574468085,0.5186335403726708,0.581081081081081,1.0,0.7350427350427351,0.8739837398373984,0.7201213346814964,0.7536210688383708,0.21091461426287492,920.0,6.0,155.0,0.0,215.0
extra_trees,False,precision_with_recall_floor_0_80,0.44,0.6941489361702128,0.6748374981944244,0.7016129032258065,0.8093023255813954,0.7516198704103672,0.7851985559566786,0.7201213346814964,0.7536210688383708,0.21091461426287492,468.0,87.0,74.0,41.0,174.0
