feature,coefficient,abs_coefficient
age,1.0252160188533748,1.0252160188533748
age_band_young,0.7015793832794286,0.7015793832794286
tumor_size,0.6154821755699844,0.6154821755699844
integrative_cluster_2,0.544645400186309,0.544645400186309
integrative_cluster_5,0.528480916642004,0.528480916642004
three_gene_subtype_ER+/HER2- High Prolif,0.4537503818810958,0.4537503818810958
tumor_stage_burden,-0.4505970964495909,0.4505970964495909
integrative_cluster_1,-0.44773884444808537,0.44773884444808537
tumor_size_band_large,-0.42843790824015116,0.42843790824015116
receptor_profile_ER_Positive__PR_Positive__HER2_Positive,-0.42836098348787605,0.42836098348787605
receptor_profile_ER_Negative__PR_Positive__HER2_Negative,-0.427720087193985,0.427720087193985
age_band_older,-0.4172704324056825,0.4172704324056825
her2_status_measured_by_snp6_Undef,-0.3941504061521993,0.3941504061521993
er_status_Negative,-0.3783156878357022,0.3783156878357022
integrative_cluster_10,-0.37409694150950207,0.37409694150950207
age_band_middle,-0.36457282806123203,0.36457282806123203
three_gene_subtype_HER2+,-0.35631931961028507,0.35631931961028507
receptor_profile_ER_Positive__PR_Positive__HER2_Negative,0.3478054474640335,0.3478054474640335
tumor_other_histologic_subtype_Medullary,-0.3350419654684331,0.3350419654684331
tumor_other_histologic_subtype_Tubular/ cribriform,0.3017162154275282,0.3017162154275282
er_status_Positive,0.29805181064821723,0.29805181064821723
cohort,0.29489217236238036,0.29489217236238036
her2_status_measured_by_snp6_Neutral,0.2663629018224228,0.2663629018224228
tumor_size_band_small,0.26535162642776067,0.26535162642776067
cancer_type_detailed_Breast Invasive Mixed Mucinous Carcinoma,-0.2652131717686955,0.2652131717686955
oncotree_code_IMMC,-0.2652131717686955,0.2652131717686955
tumor_other_histologic_subtype_Mucinous,-0.2652131717686955,0.2652131717686955
receptor_profile_ER_Positive__PR_Negative__HER2_Positive,0.26457112902558544,0.26457112902558544
lymph_nodes_positive,0.25898736544755696,0.25898736544755696
pam50_risk_group_basal_like,-0.25383252341051293,0.25383252341051293
pam50_subtype_claudin-low,-0.25383252341051293,0.25383252341051293
hr_positive_her2_negative,-0.2282562057768703,0.2282562057768703
cancer_type_detailed_Breast,-0.22784429553737146,0.22784429553737146
tumor_other_histologic_subtype_Other,-0.22784429553737146,0.22784429553737146
oncotree_code_BREAST,-0.22784429553737146,0.22784429553737146
npi,0.22717138349504737,0.22717138349504737
tumor_other_histologic_subtype_Mixed,0.22316182397450549,0.22316182397450549
oncotree_code_MDLC,0.22316182397450549,0.22316182397450549
cancer_type_detailed_Breast Mixed Ductal and Lobular Carcinoma,0.22316182397450549,0.22316182397450549
pr_status_Positive,-0.21599864202000235,0.21599864202000235
hormone_therapy_flag,-0.20874037033773296,0.20874037033773296
pam50_risk_group_Unknown,0.19455784719539893,0.19455784719539893
receptor_profile_ER_Positive__PR_Unknown__HER2_Unknown,0.19455784719539893,0.19455784719539893
grade,-0.19342399875217042,0.19342399875217042
nottingham_grade_burden,0.17916971591844938,0.17916971591844938
tumor_other_histologic_subtype_Lobular,0.17846764135249055,0.17846764135249055
cancer_type_detailed_Breast Invasive Lobular Carcinoma,0.17846764135249055,0.17846764135249055
oncotree_code_ILC,0.17846764135249055,0.17846764135249055
integrative_cluster_9,-0.1757771176971262,0.1757771176971262
type_of_breast_surgery_Breast Conserving,-0.1752834736360887,0.1752834736360887
cancer_type_detailed_Breast Invasive Ductal Carcinoma,0.17376851576968388,0.17376851576968388
oncotree_code_IDC,0.17376851576968388,0.17376851576968388
treatment_count,-0.16536776190853347,0.16536776190853347
cancer_type_detailed_Invasive Breast Carcinoma,-0.16260439097809448,0.16260439097809448
oncotree_code_BRCA,-0.16260439097809448,0.16260439097809448
large_tumor_flag,0.15536544230969881,0.15536544230969881
radio_therapy_No,-0.1537759951868777,0.1537759951868777
primary_tumor_laterality_Right,-0.15355371130333753,0.15355371130333753
pam50_risk_group_her2_enriched,0.15184328835595723,0.15184328835595723
pam50_subtype_Her2,0.15184328835595723,0.15184328835595723
integrative_cluster_8,-0.1488904072423137,0.1488904072423137
radio_therapy_flag,-0.1476414124955464,0.1476414124955464
her2_status_Positive,-0.13997034468122319,0.13997034468122319
cellularity_Low,0.13701510033120004,0.13701510033120004
pr_status_Negative,0.13573476483251712,0.13573476483251712
integrative_cluster_6,0.13466368965214204,0.13466368965214204
tumor_grade_burden,0.1327556915578565,0.1327556915578565
hormone_therapy_No,-0.1234275433019021,0.1234275433019021
node_stage_burden,0.11510787683919753,0.11510787683919753
cellularity_Moderate,-0.11232237400816136,0.11232237400816136
pam50_subtype_LumA,0.1094041065654587,0.1094041065654587
cellularity_High,-0.10495660351052061,0.10495660351052061
triple_negative_like,0.10473899036829748,0.10473899036829748
three_gene_subtype_ER+/HER2- Low Prolif,-0.1040261690896615,0.1040261690896615
receptor_profile_ER_Negative__PR_Positive__HER2_Positive,0.09771913400243105,0.09771913400243105
integrative_cluster_4ER-,-0.09699909625513274,0.09699909625513274
type_of_breast_surgery_Mastectomy,0.09501959644860336,0.09501959644860336
chemotherapy_No,-0.09389598840381617,0.09389598840381617
er_status_measured_by_ihc_Positve,-0.0928702160711672,0.0928702160711672
pam50_risk_group_basal,-0.09087419419141363,0.09087419419141363
pam50_subtype_Basal,-0.09087419419141363,0.09087419419141363
advanced_stage_flag,0.09021899800216933,0.09021899800216933
integrative_cluster_3,-0.08519913124675144,0.08519913124675144
pam50_risk_group_lower_risk_luminal,-0.0851537406299404,0.0851537406299404
her2_status_measured_by_snp6_Gain,0.08331577319625898,0.08331577319625898
