feature,coefficient,abs_coefficient
primary_tumor_laterality_Left,0.07328983411585344,0.07328983411585344
mutation_count,0.06222548092606509,0.06222548092606509
her2_status_Negative,0.05970646749373797,0.05970646749373797
pam50_subtype_Normal,0.0561875869941641,0.0561875869941641
pam50_risk_group_normal_like,0.0561875869941641,0.0561875869941641
node_positive_log1p,-0.047193571109013226,0.047193571109013226
tumor_other_histologic_subtype_Ductal/NST,0.04448987483249508,0.04448987483249508
high_node_burden_flag,0.04397709341732873,0.04397709341732873
mutation_density,0.043216353279508214,0.043216353279508214
hormone_therapy_Yes,0.04316366611441828,0.04316366611441828
integrative_cluster_7,-0.04177307377239941,0.04177307377239941
her2_status_measured_by_snp6_Loss,-0.03579214605396639,0.03579214605396639
stage,-0.03544995746730102,0.03544995746730102
pam50_subtype_LumB,0.027768891493708564,0.027768891493708564
pam50_risk_group_higher_risk_luminal,0.027768891493708564,0.027768891493708564
receptor_profile_ER_Negative__PR_Negative__HER2_Negative,0.025584889577215053,0.025584889577215053
chemotherapy_Yes,0.01363211121633278,0.01363211121633278
er_status_measured_by_ihc_Negative,0.012606338883684098,0.012606338883684098
inferred_menopausal_state_Pre,0.0007759805532772685,0.0007759805532772685
