scenario,threshold,accuracy,balanced_accuracy,precision,recall,f1,f2,roc_auc,pr_auc,brier_score,clinical_utility,true_negatives,false_positives,false_negatives,true_positives
max_f2,0.25,0.6702127659574468,0.6172468582984255,0.6366366366366366,0.986046511627907,0.7737226277372263,0.8885163453478625,0.7422793586595406,0.7620672042414207,0.20194314109999173,915.0,40.0,121.0,3.0,212.0
max_recall,0.14,0.598404255319149,0.531055900621118,0.587431693989071,1.0,0.7401032702237521,0.8768352365415987,0.7422793586595406,0.7620672042414207,0.20194314109999173,924.0,10.0,151.0,0.0,215.0
max_clinical_utility,0.14,0.598404255319149,0.531055900621118,0.587431693989071,1.0,0.7401032702237521,0.8768352365415987,0.7422793586595406,0.7620672042414207,0.20194314109999173,924.0,10.0,151.0,0.0,215.0
recall_with_precision_floor_0_30,0.14,0.598404255319149,0.531055900621118,0.587431693989071,1.0,0.7401032702237521,0.8768352365415987,0.7422793586595406,0.7620672042414207,0.20194314109999173,924.0,10.0,151.0,0.0,215.0
precision_with_recall_floor_0_80,0.44,0.7047872340425532,0.6880398671096346,0.7148760330578512,0.8046511627906977,0.7571115973741794,0.7849364791288567,0.7422793586595406,0.7620672042414207,0.20194314109999173,460.0,92.0,69.0,42.0,173.0
