model,include_survival_months,threshold,accuracy,balanced_accuracy,precision,recall,f1,f2,roc_auc,pr_auc,brier_score,clinical_utility,true_negatives,false_positives,false_negatives,true_positives
gradient_boosting,False,0.5,0.6941489361702128,0.6787375415282392,0.7100840336134454,0.786046511627907,0.7461368653421634,0.7695810564663024,0.751003900043334,0.7590048123731171,0.1975636141341232,408.0,92,69,46,169
ada_boost,False,0.5,0.6648936170212766,0.6484760941788242,0.6861924686192469,0.7627906976744186,0.7224669603524229,0.7461328480436761,0.7027155857287304,0.7300152908605382,0.21744208359596978,337.0,86,75,51,164
svm_calibrated,False,0.5,0.6728723404255319,0.6601328903654484,0.7,0.7488372093023256,0.7235955056179775,0.7385321100917431,0.7066300736674852,0.7246834201943052,0.21417483460577053,304.0,92,69,54,161
hist_gradient_boosting,False,0.5,0.675531914893617,0.6640184890943233,0.7048458149779736,0.7441860465116279,0.7239819004524887,0.7359705611775529,0.7409215657951754,0.7664412109982777,0.21530757167940803,293.0,94,67,55,160
extra_trees,False,0.5,0.6728723404255319,0.6640329336992634,0.7090909090909091,0.7255813953488373,0.7172413793103448,0.7222222222222222,0.7201213346814964,0.7536210688383708,0.21091461426287492,244.0,97,64,59,156
random_forest,False,0.5,0.6648936170212766,0.6625162501805575,0.7192118226600985,0.6790697674418604,0.6985645933014354,0.6867356538099718,0.7314747941643797,0.758477808004115,0.20763680635991175,121.0,104,57,69,146
mlp,False,0.5,0.598404255319149,0.5864365159612884,0.6428571428571429,0.6697674418604651,0.6560364464692483,0.6642066420664207,0.6424960277336415,0.6751284893304434,0.3531079423502453,72.0,81,80,71,144
logistic_regression,False,0.5,0.6409574468085106,0.6478260869565218,0.7247191011235955,0.6,0.6564885496183206,0.6213872832369942,0.7097501083345371,0.7240616380264165,0.2222868447069633,-92.0,112,49,86,129
