model,threshold,accuracy,balanced_accuracy,precision,recall,f1,f2,roc_auc,pr_auc,brier_score,clinical_utility,true_negatives,false_positives,false_negatives,true_positives,threshold_selected_on,selected_threshold
logistic_regression,0.5,0.6382978723404256,0.6439404882276469,0.7182320441988951,0.6046511627906976,0.6565656565656566,0.6243996157540826,0.7054456160624006,0.7242792721524547,0.22545506247129138,-81.0,110,51,85,130,,
svm_calibrated,0.5,0.675531914893617,0.6632384804275603,0.7030567685589519,0.7488372093023256,0.7252252252252253,0.7392102846648301,0.7040300447782752,0.7253384667836602,0.21429220220391434,305.0,93,68,54,161,,
weighted_soft_voting,0.16,0.6090425531914894,0.5442582695363282,0.5944444444444444,0.9953488372093023,0.7443478260869565,0.8770491803278688,0.7352015022389138,0.7585836496938047,0.20589491558393647,916.0,15,146,1,214,validation,0.16
