sleep_quality_bin,stress_bin,work_hours_bin,duration_bin,count,mean,majority_rate,minority_rate
"(6.2, 6.8]","(3.7, 4.5]","(-0.001, 2.8]","(6.78, 7.27]",71,0.6338028169014085,0.6338028169014085,0.3661971830985915
"(5.7, 6.2]","(4.5, 5.0]","(4.7, 6.1]","(7.92, 10.5]",63,0.6349206349206349,0.6349206349206349,0.3650793650793651
"(4.9, 5.3]","(3.7, 4.5]","(-0.001, 2.8]","(7.92, 10.5]",69,0.6376811594202898,0.6376811594202898,0.3623188405797102
"(6.2, 6.8]","(3.7, 4.5]","(4.7, 6.1]","(7.92, 10.5]",72,0.6388888888888888,0.6388888888888888,0.36111111111111116
"(6.2, 6.8]","(3.7, 4.5]","(4.7, 6.1]","(6.78, 7.27]",81,0.6419753086419753,0.6419753086419753,0.3580246913580247
"(5.7, 6.2]","(3.7, 4.5]","(-0.001, 2.8]","(7.27, 7.92]",90,0.6444444444444445,0.6444444444444445,0.3555555555555555
"(5.7, 6.2]","(4.5, 5.0]","(2.8, 4.7]","(7.92, 10.5]",82,0.6463414634146342,0.6463414634146342,0.35365853658536583
"(5.7, 6.2]","(5.8, 6.2]","(6.1, 7.4]","(7.27, 7.92]",51,0.6470588235294118,0.6470588235294118,0.3529411764705882
"(5.3, 5.7]","(0.999, 3.7]","(-0.001, 2.8]","(7.27, 7.92]",74,0.6486486486486487,0.6486486486486487,0.3513513513513513
"(4.0, 4.5]","(6.6, 7.1]","(9.7, 11.1]","(5.53, 5.96]",57,0.3508771929824561,0.6491228070175439,0.3508771929824561
"(5.7, 6.2]","(0.999, 3.7]","(2.8, 4.7]","(7.92, 10.5]",106,0.6509433962264151,0.6509433962264151,0.34905660377358494
"(6.2, 6.8]","(0.999, 3.7]","(2.8, 4.7]","(7.27, 7.92]",121,0.6528925619834711,0.6528925619834711,0.3471074380165289
"(5.7, 6.2]","(3.7, 4.5]","(7.4, 8.5]","(6.78, 7.27]",52,0.6538461538461539,0.6538461538461539,0.34615384615384615
"(5.7, 6.2]","(3.7, 4.5]","(4.7, 6.1]","(7.27, 7.92]",78,0.6538461538461539,0.6538461538461539,0.34615384615384615
"(5.3, 5.7]","(4.5, 5.0]","(-0.001, 2.8]","(7.92, 10.5]",55,0.6545454545454545,0.6545454545454545,0.34545454545454546
"(6.2, 6.8]","(3.7, 4.5]","(6.1, 7.4]","(7.92, 10.5]",55,0.6545454545454545,0.6545454545454545,0.34545454545454546
"(6.2, 6.8]","(4.5, 5.0]","(7.4, 8.5]","(7.27, 7.92]",53,0.660377358490566,0.660377358490566,0.339622641509434
