threshold,accuracy,balanced_accuracy,precision,recall,f1
0.2,0.6554,0.7089030316197338,0.5326164874551972,0.9523199179697514,0.6831555719014344
0.21000000000000002,0.66005,0.7118374913558851,0.5363906828241782,0.9474493719559087,0.684983551869527
0.22000000000000003,0.666,0.7156760289370478,0.5413351016799293,0.941681620097411,0.6874707588659118
0.23,0.67115,0.7190203919360292,0.5457328455163145,0.9368110740835683,0.6896909648502005
0.24000000000000002,0.6758,0.7217700852283557,0.5498940036341611,0.9309151499615483,0.6913850547358401
0.25,0.6812,0.725065345998493,0.5548377172742655,0.9246347090489618,0.6935204768313786
0.26,0.6858,0.7280281028247957,0.5591121495327103,0.9201486798256857,0.6955721344830927
0.27,0.68915,0.729619664411852,0.5625345222125779,0.9137400666495771,0.6963614163614164
0.28,0.6926,0.731454877289821,0.5660648665921074,0.9082286593181236,0.6974409448818898
0.29000000000000004,0.69665,0.7336895908612735,0.5702827513570444,0.9022045629325814,0.6988334574336064
0.30000000000000004,0.699,0.7341149088404986,0.5732368896925859,0.8938733658036401,0.6985176282051282
0.31000000000000005,0.7025,0.7358063456009257,0.5772052693013173,0.8873365803640092,0.6994342291371994
0.32000000000000006,0.7071,0.7383071863176666,0.5824287652645862,0.8802871058702897,0.7010309278350515
0.33000000000000007,0.71115,0.7398490257247765,0.5876092411525482,0.8704178415790823,0.7015858257141381
0.34,0.71445,0.740683627015729,0.5922852855503575,0.8600358882337862,0.7014792744759814
0.35000000000000003,0.7184,0.7419587193264481,0.5979241877256317,0.8491412458344014,0.7017265120220315
0.36000000000000004,0.7202,0.7410555031083927,0.6017715445654179,0.8359395026916175,0.6997854077253219
0.37000000000000005,0.72355,0.742069669558497,0.6070049901139253,0.8263265829274545,0.6998860120501547
0.38000000000000006,0.72615,0.7420301608102723,0.611983431268664,0.8142783901563702,0.6987845790023648
0.39,0.7292,0.742428852415029,0.6176760702308147,0.8026147141758524,0.6981047937569677
0.4,0.73135,0.7422282929795603,0.622367758186398,0.7917200717764675,0.6969030292773735
0.41000000000000003,0.7334,0.7419688486970035,0.6271099217785097,0.780953601640605,0.6956273547208586
0.42000000000000004,0.7352,0.7414813569775539,0.6317560462670873,0.7700589592412203,0.6940850277264325
0.43000000000000005,0.73555,0.7387889303548613,0.6359113034072471,0.7535247372468598,0.6897401302281927
0.44000000000000006,0.73775,0.7376824332210739,0.6428651245949268,0.7373750320430659,0.6868843651125306
0.45000000000000007,0.7397,0.7366481341216085,0.6495047224141903,0.7227633940015381,0.6841785974278087
0.4600000000000001,0.7408,0.7349631910862884,0.6551683262209578,0.7084081004870546,0.6807488606971301
0.4700000000000001,0.7429,0.7345137790752339,0.6620765293687546,0.6963599077159702,0.6787856071964018
0.48000000000000004,0.74275,0.7315038324116236,0.6669179545168991,0.6803383747756986,0.6735613222511262
